                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.7691,                 3.3006,                 2.8684,                0.00356,                0.18065,                 0.0082,                0.00156,                    nan,                    nan,                    nan,             8.4016e-06,             8.4016e-06,             8.4016e-06
                     35,                 3.8005,                 3.2898,                 2.8641,                0.00338,                0.17491,                0.00633,                 0.0015,                    nan,                    nan,                    nan,             8.3516e-06,             8.3516e-06,             8.3516e-06
                     36,                 3.8177,                  3.298,                 2.8766,                0.00349,                  0.182,                0.00617,                0.00144,                    nan,                    nan,                    nan,             8.3017e-06,             8.3017e-06,             8.3017e-06
                     37,                 3.7593,                 3.3052,                 2.8505,                0.00314,                0.16916,                0.00551,                0.00119,                    nan,                    nan,                    nan,             8.2518e-06,             8.2518e-06,             8.2518e-06
                     38,                 3.8021,                 3.2961,                 2.8842,                0.00329,                0.17491,                0.00439,                0.00106,                    nan,                    nan,                    nan,             8.2018e-06,             8.2018e-06,             8.2018e-06
                     39,                 3.7883,                 3.2919,                  2.878,                0.00325,                0.17491,                0.00614,                0.00139,                    nan,                    nan,                    nan,             8.1519e-06,             8.1519e-06,             8.1519e-06
                     40,                 3.7649,                 3.2648,                 2.8643,                0.00331,                0.17491,                0.00588,                0.00117,                    nan,                    nan,                    nan,             8.1019e-06,             8.1019e-06,             8.1019e-06
                     41,                  3.836,                  3.304,                 2.8926,                0.00358,                0.19349,                0.00572,                0.00125,                    nan,                    nan,                    nan,              8.052e-06,              8.052e-06,              8.052e-06
                     42,                 3.7723,                 3.2922,                 2.8639,                 0.0037,                0.18774,                0.00935,                0.00168,                    nan,                    nan,                    nan,              8.002e-06,              8.002e-06,              8.002e-06
                     43,                 3.7986,                 3.2874,                 2.8744,                0.00331,                0.18065,                0.00608,                0.00134,                    nan,                    nan,                    nan,             7.9521e-06,             7.9521e-06,             7.9521e-06
                     44,                 3.8395,                 3.2864,                 2.8726,                0.00447,                0.19349,                0.00949,                 0.0017,                    nan,                    nan,                    nan,             7.9021e-06,             7.9021e-06,             7.9021e-06
                     45,                 3.7221,                 3.2776,                 2.8284,                0.00654,                 0.1705,                0.00872,                0.00148,                    nan,                    nan,                    nan,             7.8522e-06,             7.8522e-06,             7.8522e-06
                     46,                  3.771,                 3.2887,                  2.834,                0.00963,                0.13468,                0.01113,                0.00195,                    nan,                    nan,                    nan,             7.8022e-06,             7.8022e-06,             7.8022e-06
                     47,                 3.7355,                 3.3243,                 2.8449,                 0.0109,                0.11207,                0.01098,                0.00196,                    nan,                    nan,                    nan,             7.7523e-06,             7.7523e-06,             7.7523e-06
                     48,                 3.7544,                 3.2698,                  2.826,                0.01148,                0.11916,                0.01057,                0.00201,                    nan,                    nan,                    nan,             7.7023e-06,             7.7023e-06,             7.7023e-06
                     49,                 3.8088,                 3.2558,                 2.8821,                0.01199,                0.11916,                0.01185,                0.00211,                    nan,                    nan,                    nan,             7.6524e-06,             7.6524e-06,             7.6524e-06
                     50,                 3.6948,                 3.2747,                 2.8298,                 0.0221,                0.09349,                0.01186,                0.00209,                    nan,                    nan,                    nan,             7.6024e-06,             7.6024e-06,             7.6024e-06
                     51,                  3.733,                 3.2597,                  2.829,                0.00356,                0.19484,                0.00731,                 0.0016,                    nan,                    nan,                    nan,             7.5525e-06,             7.5525e-06,             7.5525e-06
                     52,                 3.7642,                 3.2987,                 2.8403,                0.00342,                0.18909,                0.00776,                0.00167,                    nan,                    nan,                    nan,             7.5025e-06,             7.5025e-06,             7.5025e-06
                     53,                 3.7835,                 3.2887,                 2.8413,                0.01895,                0.09349,                0.01099,                0.00196,                    nan,                    nan,                    nan,             7.4526e-06,             7.4526e-06,             7.4526e-06
                     54,                 3.7651,                 3.2348,                  2.852,                0.01726,                0.08199,                0.01558,                 0.0024,                    nan,                    nan,                    nan,             7.4026e-06,             7.4026e-06,             7.4026e-06
                     55,                 3.7824,                 3.2655,                 2.8473,                 0.0173,                0.09923,                0.01605,                0.00252,                    nan,                    nan,                    nan,             7.3526e-06,             7.3526e-06,             7.3526e-06
                     56,                 3.7542,                  3.254,                 2.8018,                0.02307,                0.08199,                0.01573,                0.00247,                    nan,                    nan,                    nan,             7.3027e-06,             7.3027e-06,             7.3027e-06
                     57,                 3.7239,                 3.2567,                 2.8302,                0.02224,                0.08199,                0.01519,                0.00246,                    nan,                    nan,                    nan,             7.2528e-06,             7.2528e-06,             7.2528e-06
                     58,                 3.6806,                 3.2604,                 2.8067,                 0.0041,                0.20594,                0.00752,                 0.0017,                    nan,                    nan,                    nan,             7.2028e-06,             7.2028e-06,             7.2028e-06
                     59,                 3.7464,                 3.2207,                 2.8077,                0.02286,                0.03811,                0.00719,                 0.0016,                    nan,                    nan,                    nan,             7.1529e-06,             7.1529e-06,             7.1529e-06
                     60,                 3.6879,                 3.2569,                 2.7964,                0.02873,                0.02299,                0.00719,                0.00172,                    nan,                    nan,                    nan,             7.1029e-06,             7.1029e-06,             7.1029e-06
                     61,                 3.7294,                 3.2186,                 2.8443,                0.02777,                  0.027,                0.00694,                0.00158,                    nan,                    nan,                    nan,              7.053e-06,              7.053e-06,              7.053e-06
                     62,                 3.7123,                 3.2432,                 2.8239,                0.02682,                0.08199,                0.01618,                0.00257,                    nan,                    nan,                    nan,              7.003e-06,              7.003e-06,              7.003e-06
                     63,                 3.7103,                 3.2547,                 2.8058,                0.00382,                0.21169,                0.00772,                0.00162,                    nan,                    nan,                    nan,             6.9531e-06,             6.9531e-06,             6.9531e-06
                     64,                 3.6959,                 3.2395,                 2.7995,                0.02098,                0.07759,                0.01572,                0.00252,                    nan,                    nan,                    nan,             6.9031e-06,             6.9031e-06,             6.9031e-06
                     65,                 3.6601,                 3.2111,                 2.7888,                0.03106,                0.07223,                0.01554,                0.00244,                    nan,                    nan,                    nan,             6.8532e-06,             6.8532e-06,             6.8532e-06
                     66,                 3.6922,                 3.2553,                 2.7921,                0.02428,                0.06341,                0.01539,                0.00255,                    nan,                    nan,                    nan,             6.8032e-06,             6.8032e-06,             6.8032e-06
                     67,                 3.6975,                 3.2219,                 2.8227,                0.02442,                0.07624,                0.01623,                 0.0025,                    nan,                    nan,                    nan,             6.7533e-06,             6.7533e-06,             6.7533e-06
                     68,                 3.6915,                 3.1963,                 2.8112,                0.02466,                0.05631,                0.01598,                0.00259,                    nan,                    nan,                    nan,             6.7033e-06,             6.7033e-06,             6.7033e-06
                     69,                 3.6999,                 3.2504,                 2.8287,                0.02812,                0.05766,                 0.0156,                0.00238,                    nan,                    nan,                    nan,             6.6534e-06,             6.6534e-06,             6.6534e-06
                     70,                 3.7157,                 3.2604,                 2.8371,                0.02053,                0.05057,                0.01568,                0.00239,                    nan,                    nan,                    nan,             6.6034e-06,             6.6034e-06,             6.6034e-06
                     71,                 3.6232,                  3.233,                 2.7911,                0.00402,                 0.2046,                0.00754,                0.00166,                    nan,                    nan,                    nan,             6.5535e-06,             6.5535e-06,             6.5535e-06
                     72,                 3.7057,                 3.2565,                  2.795,                 0.0037,                0.20594,                0.00724,                0.00161,                    nan,                    nan,                    nan,             6.5035e-06,             6.5035e-06,             6.5035e-06
                     73,                 3.6364,                  3.231,                 2.7806,                0.01144,                 0.1661,                0.00748,                0.00169,                    nan,                    nan,                    nan,             6.4536e-06,             6.4536e-06,             6.4536e-06
                     74,                 3.6456,                 3.2335,                  2.793,                0.00374,                0.20594,                0.00814,                0.00173,                    nan,                    nan,                    nan,             6.4036e-06,             6.4036e-06,             6.4036e-06
                     75,                 3.6939,                 3.2748,                 2.8232,                 0.0269,                0.01724,                0.00794,                0.00176,                    nan,                    nan,                    nan,             6.3536e-06,             6.3536e-06,             6.3536e-06
                     76,                 3.6522,                  3.205,                 2.7754,                 0.0246,                0.09483,                0.00928,                0.00194,                    nan,                    nan,                    nan,             6.3037e-06,             6.3037e-06,             6.3037e-06
                     77,                 3.6785,                 3.2281,                 2.7996,                0.02754,                0.01724,                0.00878,                0.00209,                    nan,                    nan,                    nan,             6.2538e-06,             6.2538e-06,             6.2538e-06
                     78,                 3.7698,                  3.268,                 2.8448,                0.01192,                0.16035,                0.00844,                0.00206,                    nan,                    nan,                    nan,             6.2038e-06,             6.2038e-06,             6.2038e-06
                     79,                 3.6308,                 3.1754,                 2.7784,                0.02125,                0.06206,                0.00892,                0.00191,                    nan,                    nan,                    nan,             6.1539e-06,             6.1539e-06,             6.1539e-06
                     80,                 3.6563,                 3.2459,                 2.7863,                0.03314,                0.05804,                0.00951,                  0.002,                    nan,                    nan,                    nan,             6.1039e-06,             6.1039e-06,             6.1039e-06
                     81,                 3.6484,                 3.1781,                 2.7899,                0.00814,                0.17586,                0.01003,                0.00209,                    nan,                    nan,                    nan,              6.054e-06,              6.054e-06,              6.054e-06
                     82,                 3.6447,                 3.2045,                 2.8093,                0.00374,                0.20594,                0.00887,                0.00185,                    nan,                    nan,                    nan,              6.004e-06,              6.004e-06,              6.004e-06
