                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2816,                 1.4146,                 1.3705,                0.69724,                0.26862,                0.30209,                0.13817,                    nan,                    nan,                    nan,             8.4016e-06,             8.4016e-06,             8.4016e-06
                     35,                 1.2999,                 1.4469,                 1.3784,                0.62874,                0.26241,                0.29229,                0.13125,                    nan,                    nan,                    nan,             8.3516e-06,             8.3516e-06,             8.3516e-06
                     36,                 1.3088,                 1.4065,                 1.3706,                0.61961,                0.26683,                0.29984,                0.12897,                    nan,                    nan,                    nan,             8.3017e-06,             8.3017e-06,             8.3017e-06
                     37,                 1.2802,                 1.4292,                 1.3621,                0.56417,                0.29652,                0.30659,                0.14051,                    nan,                    nan,                    nan,             8.2518e-06,             8.2518e-06,             8.2518e-06
                     38,                 1.2909,                 1.4083,                 1.3654,                0.57552,                0.29259,                0.30868,                0.13495,                    nan,                    nan,                    nan,             8.2018e-06,             8.2018e-06,             8.2018e-06
                     39,                 1.2803,                 1.4124,                 1.3622,                0.45687,                0.33208,                 0.3083,                0.13647,                    nan,                    nan,                    nan,             8.1519e-06,             8.1519e-06,             8.1519e-06
                     40,                 1.3335,                 1.4368,                 1.3782,                0.45881,                0.31603,                0.28724,                0.12665,                    nan,                    nan,                    nan,             8.1019e-06,             8.1019e-06,             8.1019e-06
                     41,                 1.2517,                 1.3895,                 1.3474,                0.55827,                0.28995,                0.29358,                0.13444,                    nan,                    nan,                    nan,              8.052e-06,              8.052e-06,              8.052e-06
                     42,                 1.3258,                  1.423,                 1.3775,                0.56311,                  0.304,                0.30096,                0.13405,                    nan,                    nan,                    nan,              8.002e-06,              8.002e-06,              8.002e-06
                     43,                 1.2937,                 1.4011,                 1.3684,                0.41566,                0.34046,                0.29772,                0.13572,                    nan,                    nan,                    nan,             7.9521e-06,             7.9521e-06,             7.9521e-06
                     44,                 1.2724,                 1.3897,                 1.3598,                0.51025,                0.33329,                0.30739,                0.13025,                    nan,                    nan,                    nan,             7.9021e-06,             7.9021e-06,             7.9021e-06
                     45,                 1.2897,                 1.3867,                 1.3646,                0.59788,                0.31048,                0.32309,                0.14023,                    nan,                    nan,                    nan,             7.8522e-06,             7.8522e-06,             7.8522e-06
                     46,                 1.2957,                 1.3976,                 1.3571,                0.53721,                0.31817,                0.29205,                0.12602,                    nan,                    nan,                    nan,             7.8022e-06,             7.8022e-06,             7.8022e-06
                     47,                 1.2979,                 1.4075,                 1.3673,                0.55243,                0.30321,                 0.3075,                0.13682,                    nan,                    nan,                    nan,             7.7523e-06,             7.7523e-06,             7.7523e-06
                     48,                 1.2682,                  1.381,                 1.3497,                0.68551,                0.28407,                0.32517,                0.14144,                    nan,                    nan,                    nan,             7.7023e-06,             7.7023e-06,             7.7023e-06
                     49,                 1.2882,                 1.3828,                  1.359,                0.64897,                0.31069,                0.31659,                0.13987,                    nan,                    nan,                    nan,             7.6524e-06,             7.6524e-06,             7.6524e-06
                     50,                 1.3069,                  1.387,                 1.3703,                0.53411,                0.29345,                0.30505,                0.13715,                    nan,                    nan,                    nan,             7.6024e-06,             7.6024e-06,             7.6024e-06
                     51,                  1.254,                 1.3576,                 1.3399,                0.48261,                 0.3281,                0.31314,                0.14477,                    nan,                    nan,                    nan,             7.5525e-06,             7.5525e-06,             7.5525e-06
                     52,                 1.2758,                 1.3705,                 1.3479,                0.53832,                0.30148,                0.31602,                 0.1378,                    nan,                    nan,                    nan,             7.5025e-06,             7.5025e-06,             7.5025e-06
                     53,                 1.2832,                 1.3792,                 1.3502,                0.50687,                0.28661,                0.28875,                0.12351,                    nan,                    nan,                    nan,             7.4526e-06,             7.4526e-06,             7.4526e-06
                     54,                 1.2575,                 1.3436,                 1.3344,                0.53745,                0.31872,                0.31435,                0.14112,                    nan,                    nan,                    nan,             7.4026e-06,             7.4026e-06,             7.4026e-06
                     55,                 1.2798,                 1.3662,                 1.3466,                0.47396,                0.34038,                0.32298,                0.14999,                    nan,                    nan,                    nan,             7.3526e-06,             7.3526e-06,             7.3526e-06
                     56,                 1.2969,                 1.3589,                 1.3458,                0.49358,                0.33959,                0.33098,                0.14014,                    nan,                    nan,                    nan,             7.3027e-06,             7.3027e-06,             7.3027e-06
                     57,                 1.2634,                 1.3252,                 1.3438,                0.56166,                  0.333,                0.33175,                0.14498,                    nan,                    nan,                    nan,             7.2528e-06,             7.2528e-06,             7.2528e-06
                     58,                 1.2818,                 1.3417,                 1.3417,                0.55915,                0.29477,                0.30931,                0.13852,                    nan,                    nan,                    nan,             7.2028e-06,             7.2028e-06,             7.2028e-06
                     59,                 1.2669,                 1.3414,                 1.3429,                0.55008,                0.31163,                0.31365,                0.14174,                    nan,                    nan,                    nan,             7.1529e-06,             7.1529e-06,             7.1529e-06
                     60,                 1.2796,                 1.3536,                 1.3434,                0.48362,                0.33517,                0.31429,                0.14515,                    nan,                    nan,                    nan,             7.1029e-06,             7.1029e-06,             7.1029e-06
                     61,                 1.2545,                 1.3484,                 1.3496,                0.49775,                0.32939,                0.31513,                0.14277,                    nan,                    nan,                    nan,              7.053e-06,              7.053e-06,              7.053e-06
                     62,                 1.2558,                 1.3313,                 1.3415,                0.52134,                0.31699,                0.31887,                0.14344,                    nan,                    nan,                    nan,              7.003e-06,              7.003e-06,              7.003e-06
                     63,                 1.2474,                 1.3247,                 1.3353,                0.48657,                0.32217,                0.30814,                0.14397,                    nan,                    nan,                    nan,             6.9531e-06,             6.9531e-06,             6.9531e-06
                     64,                 1.2584,                 1.3591,                 1.3385,                0.50364,                0.33512,                 0.3136,                0.14594,                    nan,                    nan,                    nan,             6.9031e-06,             6.9031e-06,             6.9031e-06
                     65,                 1.2414,                  1.311,                 1.3308,                0.57592,                0.28501,                0.30233,                0.13667,                    nan,                    nan,                    nan,             6.8532e-06,             6.8532e-06,             6.8532e-06
                     66,                 1.2577,                 1.3169,                 1.3287,                0.59421,                 0.3101,                0.32495,                0.14311,                    nan,                    nan,                    nan,             6.8032e-06,             6.8032e-06,             6.8032e-06
                     67,                 1.2505,                 1.3283,                 1.3332,                 0.7064,                0.28328,                0.32367,                0.13987,                    nan,                    nan,                    nan,             6.7533e-06,             6.7533e-06,             6.7533e-06
                     68,                 1.2375,                  1.274,                 1.3218,                0.54455,                0.31321,                0.31694,                0.14032,                    nan,                    nan,                    nan,             6.7033e-06,             6.7033e-06,             6.7033e-06
                     69,                 1.2494,                 1.3094,                 1.3284,                0.62361,                0.28912,                0.30803,                0.13759,                    nan,                    nan,                    nan,             6.6534e-06,             6.6534e-06,             6.6534e-06
                     70,                 1.2323,                 1.2608,                 1.3166,                0.48763,                0.31417,                0.30274,                0.14193,                    nan,                    nan,                    nan,             6.6034e-06,             6.6034e-06,             6.6034e-06
                     71,                 1.2689,                 1.3278,                 1.3485,                0.52961,                0.34361,                0.31623,                0.14288,                    nan,                    nan,                    nan,             6.5535e-06,             6.5535e-06,             6.5535e-06
                     72,                 1.2116,                 1.2729,                 1.3108,                0.65035,                0.28903,                0.31903,                0.14088,                    nan,                    nan,                    nan,             6.5035e-06,             6.5035e-06,             6.5035e-06
