                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                 1.4524,                 1.2984,                 1.4507,                0.57525,                0.50573,                0.49427,                0.23654,                 1.7444,                 1.5204,                 1.7207,             9.7602e-06,             9.7602e-06,             9.7602e-06
                     27,                 1.4994,                 1.2974,                 1.4529,                0.57036,                0.46751,                0.48694,                0.23042,                 1.7439,                 1.5979,                 1.7151,             9.7503e-06,             9.7503e-06,             9.7503e-06
                     28,                 1.4885,                 1.2644,                 1.4383,                0.53957,                0.53171,                0.52226,                0.23432,                 1.7517,                 1.5737,                 1.7197,             9.7403e-06,             9.7403e-06,             9.7403e-06
                     29,                 1.4494,                 1.2489,                  1.418,                0.58193,                0.52635,                0.52899,                0.24264,                 1.7407,                 1.5453,                 1.7241,             9.7303e-06,             9.7303e-06,             9.7303e-06
                     30,                 1.4591,                 1.2889,                  1.435,                0.63192,                 0.4414,                0.50246,                0.22726,                 1.7158,                 1.6181,                    1.7,             9.7203e-06,             9.7203e-06,             9.7203e-06
                     31,                 1.4036,                 1.2535,                 1.4015,                0.52233,                0.53056,                0.48587,                0.22043,                 1.7218,                  1.648,                 1.7143,             9.7103e-06,             9.7103e-06,             9.7103e-06
                     32,                 1.4205,                 1.1962,                 1.4068,                0.66583,                0.43517,                0.52637,                0.24625,                 1.7481,                   1.52,                 1.7052,             9.7003e-06,             9.7003e-06,             9.7003e-06
                     33,                 1.4055,                 1.1996,                 1.3906,                0.54356,                0.57787,                0.54921,                0.25796,                 1.7487,                 1.5107,                 1.6986,             9.6903e-06,             9.6903e-06,             9.6903e-06
                     34,                 1.4031,                 1.1984,                 1.4135,                0.54711,                0.56582,                0.53535,                0.24887,                 1.7256,                 1.4956,                 1.6888,             9.6803e-06,             9.6803e-06,             9.6803e-06
                     35,                 1.3858,                 1.1697,                 1.3799,                0.53654,                0.52449,                0.52185,                0.24377,                 1.7281,                 1.4892,                  1.699,             9.6703e-06,             9.6703e-06,             9.6703e-06
                     36,                 1.3514,                 1.1689,                 1.3686,                0.50967,                0.48208,                0.48599,                0.22897,                 1.7679,                  1.583,                 1.7436,             9.6603e-06,             9.6603e-06,             9.6603e-06
                     37,                  1.341,                 1.1172,                 1.3427,                 0.5968,                0.46986,                0.50521,                0.23066,                 1.7658,                 1.5322,                 1.7268,             9.6503e-06,             9.6503e-06,             9.6503e-06
                     38,                 1.3398,                 1.1164,                 1.3553,                0.63058,                0.49838,                 0.5153,                0.23589,                 1.7463,                 1.4865,                 1.7209,             9.6404e-06,             9.6404e-06,             9.6404e-06
                     39,                 1.3438,                 1.0951,                 1.3648,                0.52378,                0.52558,                0.50252,                 0.2322,                 1.7731,                 1.5322,                 1.7378,             9.6304e-06,             9.6304e-06,             9.6304e-06
                     40,                 1.3208,                 1.0984,                 1.3514,                0.59373,                0.48862,                0.50754,                0.23907,                 1.7263,                 1.5164,                  1.715,             9.6204e-06,             9.6204e-06,             9.6204e-06
                     41,                 1.3227,                 1.0552,                 1.3379,                0.56787,                0.57366,                0.54387,                0.25911,                  1.725,                 1.4417,                 1.7166,             9.6104e-06,             9.6104e-06,             9.6104e-06
                     42,                 1.3551,                 1.0967,                 1.3397,                0.55889,                0.58174,                0.53581,                0.24993,                 1.7339,                 1.4489,                 1.7101,             9.6004e-06,             9.6004e-06,             9.6004e-06
                     43,                 1.2849,                 1.0329,                 1.3146,                0.67465,                0.49171,                0.55063,                0.25573,                 1.7504,                  1.458,                 1.7427,             9.5904e-06,             9.5904e-06,             9.5904e-06
                     44,                 1.2982,                 1.0311,                 1.3141,                0.68057,                0.51476,                 0.5541,                0.26337,                 1.7653,                 1.4236,                 1.7552,             9.5804e-06,             9.5804e-06,             9.5804e-06
                     45,                 1.3159,                 1.0777,                 1.3284,                0.73576,                 0.5109,                0.56735,                 0.2635,                 1.7845,                 1.4468,                 1.7748,             9.5704e-06,             9.5704e-06,             9.5704e-06
                     46,                 1.3019,                 1.0386,                 1.3374,                0.63599,                0.51626,                 0.5204,                0.25534,                 1.7808,                 1.4766,                 1.7735,             9.5604e-06,             9.5604e-06,             9.5604e-06
                     47,                 1.2966,                 1.0393,                 1.3105,                0.60359,                 0.5281,                0.51921,                 0.2491,                 1.7686,                 1.4896,                 1.7667,             9.5504e-06,             9.5504e-06,             9.5504e-06
                     48,                 1.2829,                0.99406,                 1.3208,                0.62223,                0.54305,                0.52822,                  0.247,                 1.8009,                 1.4555,                 1.7842,             9.5405e-06,             9.5405e-06,             9.5405e-06
                     49,                  1.299,                 1.0048,                 1.3111,                 0.6537,                0.57409,                0.55261,                0.26171,                 1.7759,                 1.4109,                 1.7766,             9.5305e-06,             9.5305e-06,             9.5305e-06
                     50,                 1.2989,                 1.0244,                 1.3018,                0.66481,                 0.5582,                0.55267,                0.26132,                 1.7813,                 1.4503,                 1.7867,             9.5205e-06,             9.5205e-06,             9.5205e-06
                     51,                 1.2321,                0.97795,                 1.2879,                0.63316,                0.55505,                0.55799,                0.26954,                 1.7708,                 1.4324,                 1.7712,             9.5105e-06,             9.5105e-06,             9.5105e-06
                     52,                  1.283,                 1.0094,                 1.3028,                0.67304,                0.57569,                 0.5658,                0.26619,                 1.7687,                 1.4156,                 1.7791,             9.5005e-06,             9.5005e-06,             9.5005e-06
                     53,                 1.2427,                0.95642,                 1.2734,                0.65367,                0.53528,                0.55758,                 0.2633,                 1.7593,                 1.4034,                 1.7656,             9.4905e-06,             9.4905e-06,             9.4905e-06
                     54,                 1.2348,                0.98879,                 1.2818,                0.66735,                0.55215,                0.55497,                0.26811,                 1.7742,                 1.4184,                  1.768,             9.4805e-06,             9.4805e-06,             9.4805e-06
                     55,                 1.2578,                0.97595,                  1.281,                0.66606,                0.60295,                0.59524,                0.26661,                 1.7615,                 1.4432,                 1.7428,             9.4705e-06,             9.4705e-06,             9.4705e-06
                     56,                 1.2606,                0.97896,                 1.2841,                 0.6135,                0.59288,                0.56833,                 0.2583,                 1.7956,                  1.473,                  1.763,             9.4605e-06,             9.4605e-06,             9.4605e-06
                     57,                 1.2428,                0.96805,                 1.2846,                0.63181,                0.59249,                0.57933,                0.26794,                 1.7627,                 1.4386,                 1.7559,             9.4506e-06,             9.4506e-06,             9.4506e-06
                     58,                 1.2195,                0.96452,                 1.2638,                0.73255,                0.55538,                0.58799,                0.27642,                 1.7701,                 1.4007,                 1.7929,             9.4406e-06,             9.4406e-06,             9.4406e-06
                     59,                 1.1988,                0.93784,                 1.2643,                0.62103,                0.57042,                0.56933,                 0.2703,                  1.789,                 1.4163,                 1.7988,             9.4306e-06,             9.4306e-06,             9.4306e-06
                     60,                  1.186,                0.90827,                 1.2265,                0.65633,                0.59362,                0.57866,                0.25693,                 1.7775,                 1.4655,                 1.7633,             9.4206e-06,             9.4206e-06,             9.4206e-06
                     61,                 1.2111,                0.93371,                 1.2672,                0.70345,                0.59623,                 0.5991,                0.27217,                  1.783,                 1.4003,                 1.7772,             9.4106e-06,             9.4106e-06,             9.4106e-06
                     62,                  1.222,                0.92708,                 1.2751,                0.66961,                0.59323,                0.59608,                0.27541,                  1.797,                 1.4538,                 1.7849,             9.4006e-06,             9.4006e-06,             9.4006e-06
                     63,                 1.1973,                 0.9162,                 1.2458,                0.69367,                0.60929,                0.60621,                0.27802,                 1.7859,                 1.4279,                 1.7877,             9.3906e-06,             9.3906e-06,             9.3906e-06
