                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4042,                 1.7343,                 1.4749,                0.50772,                 0.2971,                 0.2553,                 0.1137,                    nan,                    nan,                    nan,             6.8032e-06,             6.8032e-06,             6.8032e-06
                     35,                 1.4248,                 1.7355,                 1.4898,                0.52851,                0.29209,                0.26484,                0.11125,                    nan,                    nan,                    nan,             6.7033e-06,             6.7033e-06,             6.7033e-06
                     36,                 1.4393,                 1.7179,                 1.4886,                0.58668,                0.27046,                0.26618,                0.11013,                    nan,                    nan,                    nan,             6.6034e-06,             6.6034e-06,             6.6034e-06
                     37,                 1.3953,                 1.7359,                 1.4681,                0.55036,                0.29821,                0.26085,                0.11034,                    nan,                    nan,                    nan,             6.5035e-06,             6.5035e-06,             6.5035e-06
                     38,                  1.409,                 1.7126,                 1.4719,                0.57251,                0.29212,                0.26908,                 0.1121,                    nan,                    nan,                    nan,             6.4036e-06,             6.4036e-06,             6.4036e-06
                     39,                 1.3939,                 1.7062,                 1.4651,                0.57177,                  0.297,                0.27541,                0.12105,                    nan,                    nan,                    nan,             6.3037e-06,             6.3037e-06,             6.3037e-06
                     40,                 1.4476,                 1.7224,                  1.486,                0.53557,                 0.2651,                0.25864,                0.10916,                    nan,                    nan,                    nan,             6.2038e-06,             6.2038e-06,             6.2038e-06
                     41,                 1.3569,                  1.658,                 1.4456,                0.56513,                0.28302,                0.26864,                0.11681,                    nan,                    nan,                    nan,             6.1039e-06,             6.1039e-06,             6.1039e-06
                     42,                 1.4482,                 1.7118,                 1.4853,                0.54059,                0.29652,                0.26927,                0.11441,                    nan,                    nan,                    nan,              6.004e-06,              6.004e-06,              6.004e-06
                     43,                  1.416,                 1.6905,                 1.4698,                0.66071,                 0.2536,                0.26726,                0.11118,                    nan,                    nan,                    nan,             5.9041e-06,             5.9041e-06,             5.9041e-06
                     44,                   1.39,                  1.663,                 1.4632,                0.65102,                0.26108,                0.26309,                0.11354,                    nan,                    nan,                    nan,             5.8042e-06,             5.8042e-06,             5.8042e-06
                     45,                 1.4153,                 1.6548,                 1.4671,                0.58393,                 0.2881,                0.28102,                0.11881,                    nan,                    nan,                    nan,             5.7043e-06,             5.7043e-06,             5.7043e-06
                     46,                 1.4055,                 1.6844,                 1.4565,                0.53396,                0.29781,                0.27001,                0.11633,                    nan,                    nan,                    nan,             5.6044e-06,             5.6044e-06,             5.6044e-06
                     47,                 1.4132,                 1.7042,                 1.4714,                0.56239,                0.30374,                0.27977,                0.12105,                    nan,                    nan,                    nan,             5.5045e-06,             5.5045e-06,             5.5045e-06
                     48,                 1.3811,                 1.6425,                 1.4478,                0.61868,                0.29039,                0.28919,                0.12375,                    nan,                    nan,                    nan,             5.4046e-06,             5.4046e-06,             5.4046e-06
                     49,                 1.4035,                 1.6502,                 1.4529,                0.62353,                0.30094,                0.30473,                0.12819,                    nan,                    nan,                    nan,             5.3047e-06,             5.3047e-06,             5.3047e-06
                     50,                 1.4161,                 1.6659,                 1.4703,                0.57229,                0.28736,                0.29109,                0.12301,                    nan,                    nan,                    nan,             5.2048e-06,             5.2048e-06,             5.2048e-06
                     51,                 1.3815,                 1.6451,                 1.4467,                0.63767,                0.30875,                0.29478,                0.12743,                    nan,                    nan,                    nan,             5.1049e-06,             5.1049e-06,             5.1049e-06
                     52,                 1.3908,                 1.6373,                 1.4505,                 0.6198,                0.28198,                0.29221,                0.12637,                    nan,                    nan,                    nan,              5.005e-06,              5.005e-06,              5.005e-06
                     53,                 1.3887,                 1.6548,                 1.4427,                0.69782,                 0.2558,                0.28228,                0.12071,                    nan,                    nan,                    nan,             4.9051e-06,             4.9051e-06,             4.9051e-06
                     54,                   1.37,                 1.6221,                 1.4305,                 0.5428,                0.30575,                0.28908,                0.12341,                    nan,                    nan,                    nan,             4.8052e-06,             4.8052e-06,             4.8052e-06
                     55,                 1.3909,                 1.6353,                 1.4383,                0.63983,                0.29332,                0.30053,                0.12783,                    nan,                    nan,                    nan,             4.7053e-06,             4.7053e-06,             4.7053e-06
                     56,                 1.4175,                 1.6543,                 1.4515,                 0.5932,                0.27036,                 0.2912,                0.12395,                    nan,                    nan,                    nan,             4.6054e-06,             4.6054e-06,             4.6054e-06
                     57,                 1.3754,                 1.6005,                 1.4414,                0.62103,                0.32276,                 0.3176,                0.13338,                    nan,                    nan,                    nan,             4.5055e-06,             4.5055e-06,             4.5055e-06
                     58,                 1.3926,                 1.6155,                 1.4383,                0.69212,                0.29595,                0.30256,                0.12304,                    nan,                    nan,                    nan,             4.4056e-06,             4.4056e-06,             4.4056e-06
                     59,                 1.3847,                 1.6265,                 1.4426,                0.64703,                0.31552,                0.31904,                 0.1328,                    nan,                    nan,                    nan,             4.3057e-06,             4.3057e-06,             4.3057e-06
                     60,                 1.3849,                 1.6139,                 1.4362,                0.66553,                0.29652,                0.30025,                0.12725,                    nan,                    nan,                    nan,             4.2058e-06,             4.2058e-06,             4.2058e-06
                     61,                 1.3578,                 1.6149,                 1.4406,                0.65248,                0.31061,                0.29147,                0.12234,                    nan,                    nan,                    nan,             4.1059e-06,             4.1059e-06,             4.1059e-06
                     62,                 1.3562,                 1.5987,                  1.431,                0.63814,                 0.2938,                0.28544,                0.11914,                    nan,                    nan,                    nan,              4.006e-06,              4.006e-06,              4.006e-06
                     63,                 1.3592,                 1.5942,                 1.4316,                0.60859,                0.29789,                0.29221,                0.12645,                    nan,                    nan,                    nan,             3.9061e-06,             3.9061e-06,             3.9061e-06
                     64,                 1.3663,                 1.6206,                 1.4341,                 0.6318,                 0.3072,                0.29634,                0.12748,                    nan,                    nan,                    nan,             3.8062e-06,             3.8062e-06,             3.8062e-06
                     65,                 1.3496,                 1.5699,                 1.4228,                0.65618,                0.30287,                0.28702,                0.12122,                    nan,                    nan,                    nan,             3.7063e-06,             3.7063e-06,             3.7063e-06
                     66,                 1.3667,                 1.5674,                 1.4229,                0.64651,                0.29448,                0.29618,                0.12444,                    nan,                    nan,                    nan,             3.6064e-06,             3.6064e-06,             3.6064e-06
                     67,                 1.3684,                 1.5896,                 1.4287,                0.59935,                0.30362,                0.29403,                0.12739,                    nan,                    nan,                    nan,             3.5065e-06,             3.5065e-06,             3.5065e-06
                     68,                 1.3484,                  1.538,                 1.4149,                0.69975,                0.31874,                0.31097,                0.12975,                    nan,                    nan,                    nan,             3.4066e-06,             3.4066e-06,             3.4066e-06
                     69,                 1.3625,                 1.5509,                 1.4217,                0.63109,                0.29787,                0.29352,                0.12851,                    nan,                    nan,                    nan,             3.3067e-06,             3.3067e-06,             3.3067e-06
                     70,                 1.3386,                 1.5151,                 1.4108,                0.67562,                 0.3038,                0.29757,                  0.126,                    nan,                    nan,                    nan,             3.2068e-06,             3.2068e-06,             3.2068e-06
                     71,                 1.3925,                 1.5738,                 1.4511,                 0.6672,                0.30955,                0.30108,                0.12892,                    nan,                    nan,                    nan,             3.1069e-06,             3.1069e-06,             3.1069e-06
                     72,                 1.3193,                 1.5297,                 1.4022,                0.66227,                0.29387,                0.28851,                0.12277,                    nan,                    nan,                    nan,              3.007e-06,              3.007e-06,              3.007e-06
                     73,                 1.3788,                 1.5743,                 1.4342,                0.65957,                0.30362,                0.29425,                0.12447,                    nan,                    nan,                    nan,             2.9071e-06,             2.9071e-06,             2.9071e-06
                     74,                 1.3653,                 1.5492,                 1.4197,                 0.6751,                0.30496,                0.29755,                0.12759,                    nan,                    nan,                    nan,             2.8072e-06,             2.8072e-06,             2.8072e-06
                     75,                 1.3895,                 1.5826,                 1.4352,                 0.6337,                  0.293,                0.29151,                 0.1238,                    nan,                    nan,                    nan,             2.7073e-06,             2.7073e-06,             2.7073e-06
                     76,                  1.347,                 1.5706,                 1.4151,                  0.653,                0.29515,                0.30103,                 0.1325,                    nan,                    nan,                    nan,             2.6074e-06,             2.6074e-06,             2.6074e-06
                     77,                 1.3387,                 1.5576,                 1.4123,                0.67471,                0.30669,                 0.3003,                 0.1314,                    nan,                    nan,                    nan,             2.5075e-06,             2.5075e-06,             2.5075e-06
